ID,Date,Variety,Ripe,Part-ripe,Unripe,Flower,Fruit-width,Fruit-height,Mass,Yield/plant,Crop-composition,Plant-height,ExG
BP15,20250515,Falco,0,0,0,0,,,,,,1.245387454,55.83405512
BP15,20250517,Falco,0,0,0,0,,,,,,1.10701107,54.93634653
BP15,20250519,Falco,0,0,0,0,,,,,,3.136531365,43.72438347
BP15,20250521,Falco,0,0,0,1,,,,,0,6.342250923,43.43490966
BP15,20250523,Falco,0,0,1,1,,,,,0,9.57103321,42.96889215
BP15,20250525,Falco,0,0,2,2,,,,,0,7.218634686,43.7199834
BP15,20250527,Falco,0,0,2,2,,,,,0,9.640221402,40.55455685
BP15,20250529,Falco,0,0,3,3,,,,,0,26.9603321,58.88467508
BP15,20250531,Falco,0,0,3,1,,,,,0,28.6900369,56.03566833
BP15,20250602,Falco,0,0,3,4,,,,,0,27.49077491,60.88162909
BP15,20250604,Falco,0,0,8,0,,,,,0,29.61254613,56.67679922
BP15,20250606,Falco,0,0,5,2,,,,,0,28.02121771,56.97868873
BP15,20250608,Falco,0,0,5,0,,,,,0,29.95848708,53.36813348
BP15,20250610,Falco,0,0,13,3,,,,,0,30.30442804,71.17930644
BP15,20250614,Falco,0,0,4,4,,,,,0,31.73431734,58.85252736
BP15,20250616,Falco,0,0,7,2,,,,,0,36.92343173,52.15766465
BP15,20250619,Falco,0,0,4,1,,,,,0,35.72416974,53.05596262
BP15,20250621,Falco,0,0,12,2,,,,,0,35.42435424,58.43976187
BP15,20250624,Falco,2,0,6,1,1.914206642,2.744464945,58002.82985,58002.82985,0.222222222,34.27121771,57.49961259
BP15,20250625,Falco,1,0,9,1,1.245387454,1.84501845,16642.27292,16642.27292,0.090909091,36.71586716,36.43651593
BP15,20250626,Falco,1,0,9,1,2.21402214,2.536900369,72321.97616,72321.97616,0.090909091,36.46217712,49.90617941
BP21,20250515,Florice,0,0,0,1,,,,,0,1.499077491,41.76102717
BP21,20250517,Florice,0,0,0,1,,,,,0,2.444649446,35.28244606
BP21,20250519,Florice,0,0,0,2,,,,,0,4.105166052,31.85002509
BP21,20250521,Florice,0,0,1,3,,,,,0,4.981549815,38.25824916
BP21,20250523,Florice,0,0,0,8,,,,,0,6.688191882,41.56688152